Age (year by year)	Spaniards/Foreigners	Sex	Year	Total
69 years old	Spaniards	Males	2022	217981
69 years old	Spaniards	Females	2022	241809
70 years old	Spaniards	Males	2022	200951
70 years old	Spaniards	Females	2022	227364
71 years old	Spaniards	Males	2022	192797
71 years old	Spaniards	Females	2022	220514
72 years old	Spaniards	Males	2022	197076
72 years old	Spaniards	Females	2022	230161
73 years old	Spaniards	Males	2022	202597
73 years old	Spaniards	Females	2022	239889
74 years old	Spaniards	Males	2022	180738
74 years old	Spaniards	Females	2022	216931
75 years old	Spaniards	Males	2022	168453
75 years old	Spaniards	Females	2022	206800
76 years old	Spaniards	Males	2022	172657
76 years old	Spaniards	Females	2022	215634
77 years old	Spaniards	Males	2022	159029
77 years old	Spaniards	Females	2022	201894
78 years old	Spaniards	Males	2022	152074
78 years old	Spaniards	Females	2022	196969
79 years old	Spaniards	Males	2022	126034
79 years old	Spaniards	Females	2022	165918
80 years old	Spaniards	Males	2022	111575
80 years old	Spaniards	Females	2022	150402
81 years old	Spaniards	Males	2022	130289
81 years old	Spaniards	Females	2022	182212
82 years old	Spaniards	Males	2022	78747
82 years old	Spaniards	Females	2022	117486
83 years old	Spaniards	Males	2022	85146
83 years old	Spaniards	Females	2022	129569
84 years old	Spaniards	Males	2022	89493
84 years old	Spaniards	Females	2022	140731
85 years old	Spaniards	Males	2022	89354
85 years old	Spaniards	Females	2022	147701
86 years old	Spaniards	Males	2022	79708
86 years old	Spaniards	Females	2022	134916
87 years old	Spaniards	Males	2022	70789
87 years old	Spaniards	Females	2022	125074
88 years old	Spaniards	Males	2022	63186
88 years old	Spaniards	Females	2022	116976
89 years old	Spaniards	Males	2022	54466
89 years old	Spaniards	Females	2022	105309
90 years old	Spaniards	Males	2022	43701
90 years old	Spaniards	Females	2022	88087
91 years old	Spaniards	Males	2022	35317
91 years old	Spaniards	Females	2022	77351
92 years old	Spaniards	Males	2022	26835
92 years old	Spaniards	Females	2022	62121
93 years old	Spaniards	Males	2022	20760
93 years old	Spaniards	Females	2022	51054
94 years old	Spaniards	Males	2022	14496
94 years old	Spaniards	Females	2022	38736
95 years old	Spaniards	Males	2022	10729
95 years old	Spaniards	Females	2022	30465
96 years old	Spaniards	Males	2022	7268
96 years old	Spaniards	Females	2022	22502
97 years old	Spaniards	Males	2022	5145
97 years old	Spaniards	Females	2022	16489
98 years old	Spaniards	Males	2022	3458
98 years old	Spaniards	Females	2022	11546
99 years old	Spaniards	Males	2022	2216
99 years old	Spaniards	Females	2022	8161
100 years old and over	Spaniards	Males	2022	4334
100 years old and over	Spaniards	Females	2022	15128
